"","State","Employer.Only","Medicaid.Only","Uninsured","HCE","Household_Income","IMR","ObesityRate","White","Black","Hispanic","Asian","Two.Or.More.Races","SmokingRate","emi_pc","pi_pc","Year","ID","dixieSouth","southeast"
"2","Alabama",0.47,0.13,0.14,"$6,541 ","47,654",8.22,32,0.67,"0.26",0.04,"0.01","0.01",24.3,27.1,34997,"2011",1,1,1
"3","Alaska",0.49,0.11,0.2,"$9,586 ","64,260",3.84,27.4,0.63,"0.03",0.06,"0.06","0.08",22.9,53.7,52390,"2011",2,0,0
"4","Arizona",0.42,0.16,0.17,"$6,076 ","54,403",5.97,25.1,0.57,"0.04",0.3,"0.03","0.02",19.3,14.4,34968,"2011",3,0,0
"5","Arkansas",0.42,0.15,0.17,"$6,585 ","46,213",7.28,30.9,0.75,"0.15",0.07,"0.01","0.02",27,22.9,33863,"2011",4,1,1
"6","California",0.46,0.15,0.18,"$6,737 ","59,713",4.79,23.8,0.4,"0.06",0.38,"0.13","0.03",13.7,9.3,46170,"2011",5,0,0
"7","Colorado",0.51,0.1,0.15,"$6,129 ","65,601",5.5,20.7,0.7,"0.04",0.21,"0.03","0.02",18.3,17.9,43570,"2011",6,0,0
"8","Connecticut",0.57,0.12,0.09,"$8,950 ","73,194",5.15,24.5,0.71,"0.09",0.14,"0.04","0.02",17.1,9.7,63804,"2011",7,0,0
"9","Delaware",0.53,0.15,0.09,"$9,213 ","61,160",8.88,28.8,0.65,"0.21",0.08,"0.03","0.02",21.8,13.5,43894,"2011",8,0,0
"10","District of Columbia",0.53,0.2,0.08,"$11,281 ","61,821",7.42,23.7,0.34,"0.5",0.1,"0.03","0.02",20.8,5,67441,"2011",9,0,0
"11","Florida",0.4,0.12,0.21,"$7,408 ","50,468",6.46,26.6,0.57,"0.15",0.23,"0.02","0.02",19.3,12,40047,"2011",10,1,1
"12","Georgia",0.47,0.12,0.2,"$5,713 ","51,440",6.86,28,0.56,"0.3",0.09,"0.03","0.02",21.2,15.9,36580,"2011",11,1,1
"13","Hawaii",0.56,0.1,0.07,"$6,527 ","66,068",5.28,21.8,0.22,"0.01",0.09,"0.38","0.2",16.8,14.1,43534,"2011",12,0,0
"14","Idaho",0.48,0.1,0.16,"$6,135 ","53,102",5.07,27,0.84,"0.01",0.11,"0.01","0.02",17.2,10,33515,"2011",13,0,0
"15","Illinois",0.53,0.14,0.13,"$7,429 ","56,658",6.56,27.1,0.63,"0.14",0.16,"0.05","0.02",20.9,17.8,44140,"2011",14,0,0
"16","Indiana",0.53,0.12,0.15,"$7,286 ","49,730",7.62,30.8,0.81,"0.09",0.06,"0.02","0.02",25.6,32.1,37653,"2011",15,0,0
"17","Iowa",0.56,0.1,0.09,"$7,416 ","56,191",4.74,29,0.89,"0.03",0.05,"0.02","0.02",20.4,27.9,40952,"2011",16,0,0
"18","Kansas",0.54,0.09,0.13,"$7,152 ","51,634",6.23,29.6,0.78,"0.05",0.11,"0.02","0.03",22,24.5,42719,"2011",17,0,0
"19","Kentucky",0.47,0.14,0.15,"$7,142 ","44,595",6.43,30.4,0.86,"0.08",0.03,"0.01","0.02",29,33.9,34626,"2011",18,1,1
"20","Louisiana",0.43,0.16,0.18,"$7,161 ","45,493",8.22,33.4,0.6,"0.32",0.04,"0.02","0.01",25.7,49,38710,"2011",19,1,1
"21","Maine",0.48,0.15,0.11,"$8,824 ","55,602",6.69,27.8,0.94,"0.01",0.01,"0.01","0.02",22.8,13.2,39472,"2011",20,0,0
"22","Maryland",0.58,0.11,0.1,"$7,937 ","77,066",6.81,28.3,0.54,"0.29",0.08,"0.06","0.02",19.1,11,52437,"2011",21,0,0
"23","Massachusetts",0.58,0.15,0.04,"$9,818 ","70,842",4.25,22.7,0.76,"0.06",0.1,"0.06","0.02",18.2,10.3,55305,"2011",22,0,0
"24","Michigan",0.5,0.14,0.12,"$7,406 ","54,691",6.54,31.3,0.77,"0.14",0.05,"0.02","0.02",23.3,16.2,37512,"2011",23,0,0
"25","Minnesota",0.58,0.11,0.09,"$7,968 ","64,695",4.75,25.7,0.83,"0.05",0.05,"0.04","0.02",19.1,17.1,45353,"2011",24,0,0
"26","Mississippi",0.41,0.17,0.18,"$6,833 ","45,976",9.23,34.9,0.58,"0.37",0.03,"0.01","0.01",26,20.3,32163,"2011",25,1,1
"27","Missouri",0.51,0.11,0.14,"$7,441 ","51,217",6.33,30.3,0.81,"0.11",0.04,"0.02","0.02",25,22.3,38343,"2011",26,1,0
"28","Montana",0.45,0.09,0.19,"$7,301 ","45,066",5.97,24.6,0.88,"N/A",0.03,"0.01","0.02",22.1,31.5,38184,"2011",27,0,0
"29","Nebraska",0.53,0.09,0.12,"$7,715 ","62,229",5.6,28.4,0.82,"0.04",0.09,"0.02","0.02",20,28.4,45429,"2011",28,0,0
"30","Nevada",0.49,0.08,0.22,"$5,959 ","52,637",5.69,24.5,0.53,"0.08",0.27,"0.07","0.03",22.9,12.5,38550,"2011",29,0,0
"31","New Hampshire",0.61,0.07,0.1,"$8,766 ","73,714",4.51,26.2,0.92,"0.01",0.03,"0.02","0.02",19.3,12.3,48938,"2011",30,0,0
"32","New Jersey",0.58,0.1,0.13,"$7,947 ","69,751",5.08,23.7,0.59,"0.12",0.18,"0.08","0.02",16.8,12.9,53696,"2011",31,0,0
"33","New Mexico",0.38,0.19,0.2,"$6,567 ","46,974",5.57,26.3,0.4,"0.02",0.47,"0.01","0.02",21.5,26.7,35003,"2011",32,0,0
"34","New York",0.51,0.17,0.12,"$9,016 ","56,657",5.12,24.5,0.58,"0.14",0.18,"0.07","0.02",18.1,8.4,51498,"2011",33,0,0
"35","North Carolina",0.45,0.13,0.16,"$6,808 ","50,581",7.2,29.1,0.65,"0.21",0.09,"0.02","0.02",21.8,13.3,36767,"2011",34,1,1
"36","North Dakota",0.54,0.07,0.1,"$8,758 ","63,063",6.51,27.8,0.89,"0.01",0.02,"0.01","0.02",21.9,78.2,47994,"2011",35,0,0
"37","Ohio",0.53,0.12,0.12,"$7,652 ","49,957",7.99,29.6,0.81,"0.12",0.03,"0.02","0.02",25.1,20.4,39071,"2011",36,0,0
"38","Oklahoma",0.45,0.13,0.19,"$6,921 ","54,217",7.27,31.1,0.68,"0.07",0.09,"0.02","0.07",26.1,28.3,39043,"2011",37,1,0
"39","Oregon",0.47,0.12,0.16,"$6,971 ","57,653",4.56,26.7,0.78,"0.02",0.12,"0.04","0.03",19.7,9.6,37821,"2011",38,0,0
"40","Pennsylvania",0.53,0.12,0.1,"$8,432 ","55,845",6.49,28.6,0.79,"0.1",0.06,"0.03","0.02",22.4,19.4,44210,"2011",39,0,0
"41","Rhode Island",0.54,0.11,0.11,"$8,782 ","54,864",6.39,25.4,0.76,"0.05",0.13,"0.03","0.03",20,10.5,44675,"2011",40,0,0
"42","South Carolina",0.45,0.13,0.17,"$6,707 ","44,850",7.32,30.8,0.64,"0.28",0.05,"0.01","0.01",23.1,17,34077,"2011",41,1,1
"43","South Dakota",0.5,0.09,0.12,"$8,065 ","52,838",6.08,28.1,0.85,"0.01",0.03,"0.01","0.02",23,17.8,44618,"2011",42,0,0
"44","Tennessee",0.46,0.14,0.15,"$6,742 ","47,306",7.44,29.2,0.76,"0.16",0.05,"0.01","0.02",23,16.6,37627,"2011",43,0,0
"45","Texas",0.45,0.14,0.23,"$6,328 ","54,879",5.66,30.4,0.45,"0.11",0.38,"0.04","0.02",19.2,23.2,41244,"2011",44,1,0
"46","Utah",0.58,0.08,0.15,"$5,341 ","62,092",5.49,24.4,0.8,"0.01",0.13,"0.02","0.02",11.8,22.8,34200,"2011",45,0,0
"47","Vermont",0.51,0.17,0.07,"$8,874 ","58,029",4.94,25.4,0.94,"0.01",0.01,"0.01","0.02",19.1,9.3,43790,"2011",46,0,0
"48","Virginia",0.55,0.08,0.13,"$6,877 ","70,062",6.79,29.2,0.65,"0.19",0.08,"0.06","0.03",20.9,12.3,47775,"2011",47,1,1
"49","Washington",0.5,0.11,0.14,"$7,119 ","63,610",4.55,26.5,0.72,"0.03",0.12,"0.07","0.04",17.5,10.1,44709,"2011",48,0,0
"50","West Virginia",0.46,0.14,0.15,"$8,268 ","46,794",6.56,32.4,0.94,"0.03",0.01,"0.01","0.02",28.6,52.7,34131,"2011",49,1,1
"51","Wisconsin",0.55,0.13,0.09,"$7,971 ","58,248",6.24,27.7,0.83,"0.06",0.06,"0.02","0.02",20.9,17.1,41178,"2011",50,0,0
"52","Wyoming",0.54,0.07,0.15,"$7,554 ","60,991",6.62,25,0.86,"0.01",0.09,"0.01","0.02",23,112.4,49992,"2011",51,0,0
"210","Alabama",0.47,0.13,0.13,"$6,821 ","47,624",8.88,33,0.67,"0.26",0.04,"0.01","0.01",23.8,25.6,35884,"2012",1,1,1
"310","Alaska",0.49,0.11,0.2,"$10,130 ","69,739",5.1,25.7,0.63,"0.03",0.06,"0.06","0.07",20.5,52.3,53627,"2012",2,0,0
"410","Arizona",0.43,0.15,0.17,"$6,183 ","51,546",5.78,26,0.57,"0.04",0.3,"0.03","0.02",17.1,14,36123,"2012",3,0,0
"53","Arkansas",0.43,0.15,0.16,"$6,804 ","42,752",7.07,34.5,0.74,"0.15",0.07,"0.01","0.02",25,22.4,36240,"2012",4,1,1
"61","California",0.45,0.15,0.18,"$7,018 ","62,477",4.45,25,0.39,"0.06",0.38,"0.13","0.03",12.6,9.3,48798,"2012",5,0,0
"71","Colorado",0.5,0.11,0.14,"$6,306 ","62,735",4.56,20.5,0.7,"0.04",0.21,"0.03","0.02",17.7,17.5,45659,"2012",6,0,0
"81","Connecticut",0.56,0.13,0.09,"$9,300 ","70,396",5.25,25.6,0.7,"0.09",0.14,"0.04","0.02",16,9.5,64917,"2012",7,0,0
"91","Delaware",0.52,0.15,0.08,"$9,433 ","53,659",7.62,26.9,0.65,"0.2",0.09,"0.03","0.03",19.7,14.6,44077,"2012",8,0,0
"101","District of Columbia",0.53,0.2,0.06,"$11,223 ","71,490",7.87,21.9,0.35,"0.49",0.1,"0.03","0.02",19.6,4.2,68418,"2012",9,0,0
"111","Florida",0.39,0.12,0.2,"$7,635 ","50,480",6.13,25.2,0.57,"0.15",0.23,"0.03","0.02",17.7,11.5,41055,"2012",10,1,1
"121","Georgia",0.47,0.13,0.19,"$6,009 ","52,726",6.23,29.1,0.55,"0.3",0.09,"0.03","0.02",20.4,13.7,37254,"2012",11,1,1
"131","Hawaii",0.52,0.13,0.07,"$6,803 ","61,648",4.85,23.6,0.22,"0.01",0.09,"0.39","0.19",14.6,13.6,44774,"2012",12,0,0
"141","Idaho",0.47,0.11,0.16,"$6,380 ","52,508",5.44,26.8,0.84,"<.01",0.12,"0.01","0.02",16.4,9.8,35188,"2012",13,0,0
"151","Illinois",0.52,0.14,0.13,"$7,665 ","56,690",6.51,28.1,0.63,"0.14",0.16,"0.05","0.02",18.6,16.8,46044,"2012",14,0,0
"161","Indiana",0.52,0.11,0.14,"$7,848 ","50,575",6.7,31.4,0.81,"0.09",0.06,"0.02","0.02",24,29.7,39334,"2012",15,0,0
"171","Iowa",0.55,0.11,0.08,"$7,648 ","58,557",5.32,30.4,0.88,"0.03",0.05,"0.02","0.02",18.1,25.8,42906,"2012",16,0,0
"181","Kansas",0.53,0.1,0.13,"$7,477 ","54,788",6.3,29.8,0.78,"0.05",0.11,"0.02","0.02",19.4,22.7,45118,"2012",17,0,0
"191","Kentucky",0.48,0.13,0.14,"$7,289 ","45,018",7.19,31.3,0.86,"0.08",0.03,"0.01","0.02",28.3,31.2,35753,"2012",18,1,1
"201","Louisiana",0.43,0.17,0.17,"$7,303 ","42,826",8.13,34.7,0.6,"0.32",0.04,"0.02","0.02",24.8,46,40556,"2012",19,1,1
"211","Maine",0.46,0.16,0.1,"$9,001 ","53,863",6.95,28.3,0.94,"0.01",0.01,"0.01","0.02",20.3,11.9,40288,"2012",20,0,0
"221","Maryland",0.57,0.11,0.1,"$8,115 ","78,711",6.35,27.6,0.54,"0.29",0.09,"0.06","0.03",16.2,10.2,53546,"2012",21,0,0
"231","Massachusetts",0.58,0.15,0.04,"$10,071 ","69,748",4.21,22.9,0.75,"0.06",0.1,"0.06","0.02",16.4,9.3,57332,"2012",22,0,0
"241","Michigan",0.5,0.14,0.12,"$7,637 ","54,802",6.93,31.1,0.76,"0.14",0.05,"0.02","0.02",23.3,15.5,39059,"2012",23,0,0
"251","Minnesota",0.58,0.11,0.08,"$8,177 ","67,709",5.02,25.7,0.82,"0.05",0.05,"0.04","0.02",18.8,16.1,47860,"2012",24,0,0
"261","Mississippi",0.4,0.18,0.17,"$7,369 ","40,148",8.9,34.6,0.58,"0.38",0.02,"0.01","0.01",24,20.9,33309,"2012",25,1,1
"271","Missouri",0.5,0.11,0.14,"$7,758 ","54,527",6.6,29.6,0.81,"0.11",0.04,"0.02","0.02",23.9,21,40133,"2012",26,1,0
"281","Montana",0.42,0.11,0.18,"$7,645 ","49,403",5.94,24.3,0.87,"N/A",0.03,"0.01","0.02",19.7,30,40320,"2012",27,0,0
"291","Nebraska",0.55,0.09,0.11,"$7,979 ","57,191",4.66,28.6,0.82,"0.04",0.1,"0.02","0.02",19.7,27.2,46562,"2012",28,0,0
"301","Nevada",0.47,0.08,0.22,"$6,026 ","51,863",4.93,26.2,0.53,"0.08",0.27,"0.07","0.03",18.1,12.5,39651,"2012",29,0,0
"311","New Hampshire",0.58,0.08,0.11,"$9,048 ","74,310",4.21,27.3,0.92,"0.01",0.03,"0.02","0.02",17.2,11,51005,"2012",30,0,0
"321","New Jersey",0.57,0.1,0.13,"$8,269 ","73,075",4.44,24.6,0.58,"0.12",0.19,"0.09","0.02",17.3,11.7,55583,"2012",31,0,0
"331","New Mexico",0.4,0.17,0.19,"$6,771 ","47,580",6.8,27.1,0.4,"0.02",0.47,"0.01","0.01",19.3,25.6,35725,"2012",32,0,0
"341","New York",0.51,0.16,0.11,"$9,076 ","52,243",5.01,23.6,0.57,"0.14",0.18,"0.08","0.02",16.2,8.2,53982,"2012",33,0,0
"351","North Carolina",0.45,0.13,0.17,"$7,073 ","45,530",7.39,29.6,0.65,"0.21",0.09,"0.02","0.02",20.9,12.4,38970,"2012",34,1,1
"361","North Dakota",0.57,0.05,0.11,"$8,977 ","61,103",6.33,29.7,0.88,"0.02",0.02,"0.01","0.01",21.2,79.8,55426,"2012",35,0,0
"371","Ohio",0.53,0.13,0.12,"$8,072 ","48,622",7.47,30.1,0.81,"0.12",0.03,"0.02","0.02",23.3,18.6,40634,"2012",36,0,0
"381","Oklahoma",0.44,0.13,0.18,"$7,175 ","53,040",7.53,32.2,0.68,"0.07",0.09,"0.02","0.06",23.3,27.4,41469,"2012",37,1,0
"391","Oregon",0.47,0.12,0.15,"$7,119 ","56,730",5.35,27.3,0.78,"0.02",0.12,"0.04","0.03",17.9,9.5,39601,"2012",38,0,0
"401","Pennsylvania",0.54,0.12,0.1,"$8,632 ","56,871",7.05,29.1,0.79,"0.1",0.06,"0.03","0.02",21.4,18.5,46019,"2012",39,0,0
"411","Rhode Island",0.53,0.12,0.11,"$8,961 ","61,431",6.5,25.7,0.75,"0.05",0.13,"0.03","0.03",17.4,10,46283,"2012",40,0,0
"421","South Carolina",0.44,0.13,0.17,"$6,853 ","48,650",7.49,31.6,0.64,"0.27",0.05,"0.01","0.02",22.5,15.5,35572,"2012",41,1,1
"431","South Dakota",0.5,0.1,0.11,"$8,335 ","54,144",8.34,28.1,0.84,"0.02",0.03,"0.01","0.02",22,18,45183,"2012",42,0,0
"441","Tennessee",0.47,0.14,0.14,"$7,007 ","47,110",7.24,31.1,0.75,"0.17",0.05,"0.01","0.02",24.9,15.4,39312,"2012",43,0,0
"451","Texas",0.45,0.14,0.22,"$6,559 ","56,896",5.83,29.2,0.44,"0.11",0.38,"0.04","0.02",18.2,22.6,43397,"2012",44,1,0
"461","Utah",0.59,0.08,0.14,"$5,543 ","63,924",4.82,24.3,0.8,"0.01",0.13,"0.02","0.02",10.6,21.5,36139,"2012",45,0,0
"471","Vermont",0.5,0.17,0.07,"$9,302 ","60,901",4.33,23.7,0.94,"0.01",0.01,"0.02","0.01",16.5,8.7,45356,"2012",46,0,0
"481","Virginia",0.55,0.08,0.13,"$7,145 ","70,818",6.48,27.4,0.64,"0.19",0.08,"0.06","0.03",19,11.9,49585,"2012",47,1,1
"491","Washington",0.51,0.11,0.14,"$7,461 ","68,139",5.26,26.8,0.72,"0.03",0.12,"0.07","0.04",17.2,9.9,47768,"2012",48,0,0
"501","West Virginia",0.48,0.13,0.14,"$8,764 ","47,721",7.15,33.8,0.93,"0.03",0.01,"0.01","0.02",28.2,49.6,35118,"2012",49,1,1
"511","Wisconsin",0.56,0.12,0.09,"$8,061 ","58,159",5.68,29.7,0.83,"0.06",0.06,"0.02","0.02",20.4,15.8,43034,"2012",50,0,0
